,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2010-01-04,4636571,2604600924,558.0,567.0,557.0,567.0,9.0,3218
1,2010-01-05,5863778,3328992570,570.0,574.0,560.0,568.0,1.0,3857
2,2010-01-06,5398307,3065113604,568.0,575.0,562.0,575.0,7.0,3461
3,2010-01-07,4750911,2697322160,575.0,575.0,560.0,561.0,-14.0,3349
4,2010-01-08,7542963,4145993650,560.0,560.0,545.0,550.0,-11.0,5131
5,2010-01-11,3249468,1806950744,550.0,559.0,546.0,558.0,8.0,2408
6,2010-01-12,2728230,1519486340,557.0,559.0,555.0,558.0,0.0,2011
7,2010-01-13,5783889,3177382172,555.0,555.0,543.0,547.0,-11.0,3633
8,2010-01-14,7259481,4084297420,550.0,578.0,548.0,573.0,26.0,4767
9,2010-01-15,9982777,5776001933,576.0,590.0,573.0,584.0,11.0,4847
10,2010-01-18,3093021,1810714264,582.0,590.0,579.0,586.0,2.0,2196
11,2010-01-19,3547155,2041091350,588.0,588.0,569.0,570.0,-16.0,2739
12,2010-01-20,4053369,2337561744,575.0,581.0,572.0,576.0,6.0,2882
13,2010-01-21,7107933,3953979650,564.0,565.0,548.0,550.0,-26.0,5002
14,2010-01-22,11948407,6294652675,532.0,538.0,513.0,523.0,-27.0,7807
15,2010-01-25,3946015,2069641890,518.0,530.0,518.0,526.0,3.0,3094
16,2010-01-26,6112447,3158206099,526.0,528.0,510.0,516.0,-10.0,4082
17,2010-01-27,5317060,2793465320,524.0,533.0,519.0,522.0,6.0,3567
18,2010-01-28,4937673,2586507671,527.0,529.0,518.0,523.0,1.0,3014
19,2010-01-29,8011407,4077781517,511.0,520.0,500.0,520.0,-3.0,4605
20,2010-02-01,3909665,1997448415,525.0,525.0,505.0,505.0,-15.0,2995
21,2010-02-02,7226433,3639020596,515.0,515.0,495.0,498.0,-7.0,4874
22,2010-02-03,5527633,2801023830,506.0,511.0,500.0,509.0,11.0,3526
23,2010-02-04,3398154,1740105764,510.0,515.0,507.0,515.0,6.0,2326
24,2010-02-05,6429002,3252746028,505.0,511.0,500.0,511.0,-4.0,4138
25,2010-02-06,2398733,1230756029,515.0,517.0,508.0,512.0,1.0,1914
26,2010-02-08,2820444,1433988552,513.0,513.0,505.0,506.0,-6.0,2229
27,2010-02-09,4844675,2492698955,506.0,522.0,506.0,512.0,6.0,3257
28,2010-02-10,3293560,1711851080,525.0,525.0,515.0,518.0,6.0,2422
29,2010-02-22,5982838,3182219302,530.0,535.0,528.0,529.0,11.0,3805
30,2010-02-23,4024640,2124520760,531.0,534.0,523.0,534.0,5.0,2387
