,Date,Capacity,Turnover,Open,High,Low,Close,Change,Transcation
0,2010-01-04,281010,6597014,23.43,23.66,23.35,23.5,0.1,125
1,2010-01-05,711125,16732424,23.7,23.72,23.38,23.4,-0.1,176
2,2010-01-06,402165,9502167,23.3,23.8,23.3,23.75,0.35,170
3,2010-01-07,1223380,29091493,23.75,23.9,23.55,23.55,-0.2,139
4,2010-01-08,354484,8385169,23.51,23.85,23.4,23.8,0.25,148
5,2010-01-11,628223,15084492,23.8,24.19,23.8,24.05,0.25,220
6,2010-01-12,193010,4616031,24.05,24.07,23.8,23.92,-0.13,73
7,2010-01-13,269070,6374338,23.8,23.8,23.62,23.66,-0.26,96
8,2010-01-14,416610,9982860,23.66,24.1,23.66,24.0,0.34,127
9,2010-01-15,364145,8786535,24.0,24.2,24.0,24.12,0.12,144
10,2010-01-18,304010,7295465,24.07,24.09,23.82,24.01,-0.11,104
11,2010-01-19,198514,4764023,24.01,24.12,23.83,23.99,-0.02,94
12,2010-01-20,746967,17702894,23.99,23.99,23.62,23.7,-0.29,100
13,2010-01-21,207100,4879784,23.66,23.7,23.46,23.47,-0.23,91
14,2010-01-22,281381,6495428,23.1,23.2,23.0,23.05,-0.42,136
15,2010-01-25,184010,4219091,22.75,23.05,22.71,22.96,-0.09,103
16,2010-01-26,1136601,25308902,23.0,23.1,22.1,22.54,-0.42,274
17,2010-01-27,396334,8824078,22.49,22.49,22.1,22.1,-0.44,191
18,2010-01-28,159166,3558064,22.3,22.5,22.15,22.49,0.39,99
19,2010-01-29,240310,5319021,22.39,22.4,22.0,22.35,-0.14,153
20,2010-02-01,142000,3155050,22.41,22.41,22.1,22.14,-0.21,79
21,2010-02-02,328000,7240540,22.39,22.39,21.81,22.0,-0.14,197
22,2010-02-03,173000,3824140,22.2,22.29,21.95,22.27,0.27,110
23,2010-02-04,136000,3017670,22.27,22.3,22.1,22.2,-0.07,82
24,2010-02-05,518200,11153849,22.1,22.1,21.16,21.21,-0.99,317
25,2010-02-06,289000,6165080,21.5,22.0,20.91,21.34,0.13,171
26,2010-02-08,262000,5591000,21.34,21.46,21.27,21.35,0.01,111
27,2010-02-09,208000,4496450,21.45,21.85,21.32,21.75,0.4,87
28,2010-02-10,223159,4897979,21.9,22.04,21.84,21.95,0.2,123
29,2010-02-22,241100,5366318,22.3,22.4,22.1,22.1,0.15,99
30,2010-02-23,152000,3363660,22.2,22.3,22.0,22.28,0.18,95
31,2010-02-24,145000,3207450,22.18,22.2,22.0,22.08,-0.2,88
32,2010-02-25,146000,3211390,22.1,22.2,21.85,21.97,-0.11,102
33,2010-02-26,146598,3216453,21.85,22.04,21.85,21.9,-0.07,75
34,2010-03-01,156000,3452380,21.98,22.36,21.96,22.35,0.45,71
35,2010-03-02,125200,2787580,22.35,22.38,22.15,22.15,-0.2,85
36,2010-03-03,88000,1965400,22.48,22.48,22.22,22.3,0.15,65
37,2010-03-04,54000,1204580,22.48,22.48,22.15,22.15,-0.15,29
38,2010-03-05,83000,1859290,22.4,22.46,22.32,22.4,0.25,63
39,2010-03-08,119978,2707665,22.43,22.72,22.43,22.69,0.29,74
40,2010-03-09,136100,3075421,22.8,22.8,22.52,22.59,-0.1,54
41,2010-03-10,94759,2138014,22.7,22.7,22.44,22.69,0.1,65
42,2010-03-11,122000,2752570,22.7,22.7,22.42,22.48,-0.21,65
43,2010-03-12,42220,946920,22.5,22.5,22.31,22.41,-0.07,33
44,2010-03-15,189000,4218620,22.41,22.49,22.2,22.23,-0.18,99
45,2010-03-16,126100,2807120,22.2,22.44,22.2,22.27,0.04,71
46,2010-03-17,149100,3349310,22.48,22.5,22.4,22.5,0.23,83
47,2010-03-18,142110,3216891,22.55,22.69,22.55,22.65,0.15,71
48,2010-03-19,85210,1930661,22.67,22.68,22.65,22.68,0.03,49
49,2010-03-22,103375,2343451,22.65,22.72,22.63,22.7,0.02,63
50,2010-03-23,157100,3568528,22.8,22.8,22.6,22.65,-0.05,79
51,2010-03-24,106200,2408300,22.7,22.7,22.6,22.65,0.0,52
52,2010-03-25,124100,2798740,22.5,22.7,22.45,22.7,0.05,61
53,2010-03-26,109400,2486242,23.0,23.0,22.56,22.7,0.0,60
54,2010-03-29,196100,4461470,22.7,22.9,22.68,22.71,0.01,96
55,2010-03-30,212000,4821160,22.82,22.82,22.69,22.69,-0.02,117
56,2010-03-31,99000,2253290,22.7,22.85,22.7,22.8,0.11,57
57,2010-04-01,139500,3193050,22.8,22.97,22.75,22.97,0.17,82
58,2010-04-02,147000,3369930,22.91,22.97,22.88,22.96,-0.01,56
59,2010-04-06,384400,8886477,23.0,23.22,22.96,23.12,0.16,134
60,2010-04-07,317000,7373920,23.12,23.39,23.12,23.32,0.2,175
61,2010-04-08,197140,4580550,23.32,23.4,23.15,23.23,-0.09,96
62,2010-04-09,109310,2533430,23.28,23.28,23.01,23.26,0.03,71
63,2010-04-12,137000,3176390,23.26,23.27,23.11,23.25,-0.01,75
64,2010-04-13,185000,4277150,23.25,23.25,23.0,23.01,-0.24,95
65,2010-04-14,199150,4615555,23.1,23.2,23.1,23.2,0.19,79
66,2010-04-15,161450,3779910,23.3,23.48,23.3,23.31,0.11,92
67,2010-04-16,147200,3438570,23.4,23.4,23.3,23.38,0.07,72
68,2010-04-19,359090,8261463,23.3,23.3,22.71,22.71,-0.67,204
69,2010-04-20,223020,5085770,22.75,23.0,22.65,23.0,0.29,117
70,2010-04-21,243000,5597610,23.0,23.1,22.88,23.05,0.05,111
71,2010-04-22,160000,3667050,23.05,23.05,22.76,23.0,-0.05,92
72,2010-04-23,335000,7714520,23.0,23.1,22.95,23.02,0.02,87
73,2010-04-26,699000,16264380,23.02,23.4,23.02,23.35,0.33,194
74,2010-04-27,250000,5842230,23.3,23.42,23.3,23.36,0.01,67
75,2010-04-28,355000,8257180,23.1,23.36,23.07,23.32,-0.04,93
76,2010-04-29,168000,3937680,23.32,23.5,23.32,23.37,0.05,52
77,2010-04-30,371600,8729590,23.5,23.61,23.2,23.34,-0.03,109
78,2010-05-03,325010,7430888,21.71,23.3,21.71,23.3,-0.04,127
79,2010-05-04,164000,3819690,23.3,23.39,23.13,23.28,-0.02,73
80,2010-05-05,225010,5154948,23.0,23.05,22.8,22.93,-0.35,86
81,2010-05-06,193000,4383870,23.0,23.0,22.55,22.7,-0.23,112
82,2010-05-07,304100,6790090,22.49,22.59,22.02,22.5,-0.2,187
83,2010-05-10,66300,1499220,22.56,22.7,22.5,22.7,0.2,38
84,2010-05-11,109000,2474930,22.88,22.9,22.51,22.52,-0.18,62
85,2010-05-12,20100,453690,22.7,22.7,22.52,22.52,0.0,12
86,2010-05-13,119200,2703060,22.52,22.8,22.52,22.74,0.22,65
87,2010-05-14,15134,344796,22.61,22.86,22.61,22.86,0.12,12
88,2010-05-17,103000,2317520,22.7,22.7,22.4,22.41,-0.45,57
89,2010-05-18,108000,2392820,22.0,22.47,22.0,22.36,-0.05,71
90,2010-05-19,149240,3337200,22.35,22.58,22.2,22.58,0.22,53
91,2010-05-20,212600,4752070,22.58,22.58,22.26,22.3,-0.28,90
92,2010-05-21,562221,12228483,22.2,22.2,21.6,21.8,-0.5,232
93,2010-05-24,93000,2034900,21.8,22.0,21.8,21.97,0.17,60
94,2010-05-25,340062,7327818,21.92,21.92,21.29,21.41,-0.56,182
95,2010-05-26,147045,3147100,21.46,21.67,21.35,21.45,0.04,76
96,2010-05-27,214000,4567490,21.45,21.6,21.22,21.6,0.15,93
97,2010-05-28,136000,2971260,21.9,21.93,21.74,21.76,0.16,53
98,2010-05-31,87000,1901200,21.67,21.9,21.67,21.87,0.11,41
99,2010-06-01,45000,982290,21.87,21.87,21.75,21.8,-0.07,27
100,2010-06-02,205000,4425360,21.6,21.72,21.42,21.53,-0.27,102
101,2010-06-03,68000,1479670,21.79,21.8,21.7,21.8,0.27,37
102,2010-06-04,47000,1023420,21.8,21.82,21.74,21.74,-0.06,18
103,2010-06-07,107000,2288250,21.69,21.69,21.25,21.5,-0.24,61
104,2010-06-08,100134,2158577,21.5,21.69,21.5,21.52,0.02,72
105,2010-06-09,45300,975190,21.55,21.73,21.5,21.54,0.02,28
106,2010-06-10,35860,774387,21.5,21.65,21.5,21.63,0.09,24
107,2010-06-11,44000,957850,21.63,21.9,21.63,21.88,0.25,32
108,2010-06-14,67000,1468950,21.9,22.0,21.88,21.91,0.03,43
109,2010-06-15,361000,7962120,21.9,22.2,21.9,22.15,0.24,107
110,2010-06-17,254000,5647700,22.18,22.3,22.15,22.25,0.1,59
111,2010-06-18,65000,1445940,22.13,22.3,22.13,22.28,0.03,39
112,2010-06-21,98000,2205520,22.41,22.6,22.4,22.56,0.28,57
113,2010-06-22,74000,1671770,22.7,22.7,22.56,22.56,0.0,28
114,2010-06-23,191000,4281930,22.4,22.56,22.35,22.35,-0.21,44
115,2010-06-24,62000,1388620,22.35,22.45,22.35,22.45,0.1,27
116,2010-06-25,189000,4195250,22.4,22.4,22.1,22.24,-0.21,73
117,2010-06-28,58000,1297870,22.49,22.49,22.26,22.26,0.02,31
118,2010-06-29,73000,1628140,22.4,22.44,22.11,22.12,-0.14,44
119,2010-06-30,132000,2886350,21.99,21.99,21.82,21.9,-0.22,66
120,2010-07-01,55000,1202150,21.88,21.91,21.8,21.85,-0.05,33
121,2010-07-02,319000,6994790,21.85,22.05,21.85,22.04,0.19,79
122,2010-07-05,130000,2871000,22.04,22.22,22.04,22.18,0.14,48
123,2010-07-06,172000,3857280,22.32,22.6,22.2,22.52,0.34,72
124,2010-07-07,152000,3445380,22.52,22.78,22.52,22.64,0.12,72
125,2010-07-08,263050,6031610,22.8,23.0,22.78,22.96,0.32,131
126,2010-07-09,191000,4387110,22.96,23.05,22.9,23.0,0.04,79
127,2010-07-12,182150,4194894,23.0,23.16,22.71,23.03,0.03,106
128,2010-07-13,145000,3337970,23.03,23.14,23.0,23.0,-0.03,77
129,2010-07-14,161000,3731080,23.2,23.25,23.05,23.18,0.18,118
130,2010-07-15,197660,4582730,23.17,23.22,23.15,23.2,0.02,57
131,2010-07-16,145065,3354585,23.2,23.23,23.05,23.19,-0.01,108
132,2010-07-19,146000,3375780,23.18,23.18,23.0,23.15,-0.04,45
133,2010-07-20,260500,6076250,23.08,23.45,23.08,23.43,0.28,126
134,2010-07-21,136500,3197390,23.4,23.5,23.24,23.39,-0.04,100
135,2010-07-22,130000,3031490,23.4,23.4,23.22,23.23,-0.16,61
136,2010-07-23,288296,6788095,23.45,23.63,23.31,23.6,0.37,151
137,2010-07-26,144220,3419033,23.6,23.79,23.6,23.6,0.0,83
138,2010-07-27,133000,3154880,23.66,23.78,23.65,23.78,0.18,75
139,2010-07-28,240150,5734735,23.78,23.98,23.78,23.96,0.18,109
140,2010-07-29,284400,6819290,23.96,24.0,23.92,24.0,0.04,83
141,2010-07-30,91100,2177465,24.0,24.0,23.71,23.9,-0.1,76
142,2010-08-02,419208,10118812,24.0,24.2,24.0,24.2,0.3,181
143,2010-08-03,361800,8794664,24.28,24.4,24.24,24.24,0.04,117
144,2010-08-04,233000,5654950,24.24,24.32,24.13,24.2,-0.04,90
145,2010-08-05,169100,4109500,24.22,24.39,24.1,24.16,-0.04,101
146,2010-08-06,231150,5589220,24.16,24.26,24.03,24.2,0.04,95
147,2010-08-09,564200,13719763,24.2,24.39,24.2,24.36,0.16,150
148,2010-08-10,143080,3474826,24.35,24.35,24.2,24.34,-0.02,68
149,2010-08-11,136095,3280748,24.15,24.24,24.0,24.06,-0.28,65
150,2010-08-12,96000,2291280,23.89,23.98,23.8,23.9,-0.16,44
151,2010-08-13,300000,7226410,23.85,24.3,23.85,24.12,0.22,98
152,2010-08-16,218000,5263880,24.12,24.25,24.02,24.1,-0.02,85
153,2010-08-17,572000,13909210,24.2,24.38,24.12,24.19,0.09,77
154,2010-08-18,539330,13229905,24.19,24.62,24.19,24.55,0.36,137
155,2010-08-19,273000,6683340,24.55,24.55,24.32,24.47,-0.08,75
156,2010-08-20,292100,7155119,24.46,24.6,24.4,24.59,0.12,114
157,2010-08-23,328093,8144463,24.51,24.98,24.51,24.82,0.23,138
158,2010-08-24,218000,5416040,25.0,25.0,24.69,24.76,-0.06,82
159,2010-08-25,207300,5028759,24.7,24.7,24.1,24.1,-0.66,140
160,2010-08-26,150000,3611560,24.1,24.2,24.0,24.15,0.05,71
161,2010-08-27,111000,2671650,24.15,24.15,24.0,24.15,0.0,58
162,2010-08-30,88150,2138882,24.2,24.33,24.16,24.28,0.13,47
163,2010-08-31,167000,4002070,24.16,24.16,23.83,23.9,-0.38,90
164,2010-09-01,91000,2190800,24.0,24.2,23.94,24.01,0.11,43
165,2010-09-02,3120000,75992570,24.27,24.4,24.16,24.16,0.15,66
166,2010-09-03,231000,5599520,24.2,24.36,24.1,24.34,0.18,61
167,2010-09-06,104000,2538610,24.5,24.56,24.36,24.41,0.07,65
168,2010-09-07,156050,3808050,24.4,24.46,24.36,24.36,-0.05,67
169,2010-09-08,80000,1943590,24.36,24.36,24.22,24.23,-0.13,41
170,2010-09-09,96000,2347320,24.29,24.57,24.29,24.45,0.22,36
171,2010-09-10,142200,3502934,24.52,24.79,24.51,24.57,0.12,75
172,2010-09-13,526250,13102410,24.87,25.05,24.66,25.0,0.43,180
173,2010-09-14,382000,9585620,25.1,25.2,24.91,25.2,0.2,167
174,2010-09-15,311200,7859180,25.2,25.35,25.2,25.26,0.06,151
175,2010-09-16,250099,6322673,25.2,25.41,25.19,25.29,0.03,118
176,2010-09-17,167000,4232010,25.3,25.46,25.25,25.3,0.01,100
177,2010-09-20,85000,2154280,25.3,25.4,25.3,25.31,0.01,49
178,2010-09-21,224000,5693940,25.4,25.5,25.25,25.3,-0.01,72
179,2010-09-23,114000,2881900,25.3,25.3,25.15,25.27,-0.03,47
180,2010-09-24,187000,4697590,25.0,25.24,25.0,25.15,-0.12,75
181,2010-09-27,263030,6659187,25.19,25.4,25.19,25.25,0.1,103
182,2010-09-28,149000,3762780,25.3,25.3,25.2,25.2,-0.05,80
183,2010-09-29,198100,5015276,25.22,25.48,25.2,25.35,0.15,109
184,2010-09-30,123425,3120701,25.3,25.38,25.21,25.3,-0.05,55
185,2010-10-01,95015,2413776,25.3,25.5,25.3,25.39,0.09,53
186,2010-10-04,74025,1882950,25.39,25.48,25.39,25.4,0.01,51
187,2010-10-05,106492,2696084,25.41,25.5,25.14,25.49,0.09,86
188,2010-10-06,2050220,52782217,25.5,25.84,25.5,25.84,0.35,146
189,2010-10-07,282234,7296939,25.91,25.99,25.75,25.82,-0.02,107
190,2010-10-08,137200,3535050,25.82,25.88,25.66,25.75,-0.07,60
191,2010-10-11,116100,2989830,25.95,25.95,25.65,25.67,-0.08,73
192,2010-10-12,378055,9646764,25.7,25.7,25.45,25.55,-0.12,122
193,2010-10-13,235000,5980700,25.55,25.68,25.33,25.45,-0.1,142
194,2010-10-14,542000,14011180,25.6,25.95,25.6,25.9,0.45,173
195,2010-10-15,593000,15418840,25.9,26.09,25.9,26.04,0.14,190
196,2010-10-18,219275,5624810,26.0,26.0,25.4,25.55,-0.49,128
197,2010-10-19,244100,6193000,25.5,25.54,25.3,25.53,-0.02,98
198,2010-10-20,550000,13916200,25.5,25.78,25.21,25.75,0.22,122
199,2010-10-21,223100,5734740,25.6,25.83,25.53,25.8,0.05,87
200,2010-10-22,244255,6306843,25.8,25.89,25.7,25.83,0.03,118
201,2010-10-25,550070,14349157,25.8,26.2,25.8,26.2,0.37,216
202,2010-10-26,277268,7285644,26.2,26.4,26.2,26.4,0.2,140
203,2010-10-27,317300,8369990,26.4,26.5,26.26,26.3,-0.1,99
204,2010-10-28,286000,7525650,26.31,26.48,26.2,26.32,0.02,113
205,2010-10-29,152000,3987870,26.3,26.35,26.12,26.3,-0.02,77
206,2010-11-01,470030,12449285,26.3,26.61,26.21,26.5,0.2,179
207,2010-11-02,323065,8578262,26.4,26.6,26.4,26.5,0.0,126
208,2010-11-03,181035,4796200,26.5,26.65,26.3,26.33,-0.17,91
209,2010-11-04,696166,18409559,26.33,26.54,26.33,26.5,0.17,229
210,2010-11-05,345598,9278463,26.65,26.95,26.65,26.89,0.39,157
211,2010-11-08,326530,8815850,26.89,27.19,26.87,27.14,0.25,145
212,2010-11-09,263234,7113142,27.14,27.14,26.93,27.11,-0.03,95
213,2010-11-10,233199,6296641,27.11,27.18,26.82,26.86,-0.25,121
214,2010-11-11,178000,4797730,26.87,26.99,26.87,26.97,0.11,57
215,2010-11-12,166030,4446574,26.97,26.97,26.68,26.69,-0.28,74
216,2010-11-15,232275,6098117,26.69,26.69,26.0,26.29,-0.4,133
217,2010-11-16,301000,7891620,26.25,26.5,26.01,26.47,0.18,108
218,2010-11-17,161000,4219910,26.11,26.36,26.08,26.32,-0.15,116
219,2010-11-18,95030,2501365,26.35,26.49,26.23,26.43,0.11,61
220,2010-11-19,188000,5001850,26.5,26.7,26.5,26.56,0.13,80
221,2010-11-22,103170,2756030,26.57,26.78,26.57,26.72,0.16,64
222,2010-11-23,78000,2082080,26.72,26.8,26.62,26.64,-0.08,67
223,2010-11-24,155130,4129760,26.63,26.69,26.5,26.63,-0.01,99
224,2010-11-25,771320,20532900,26.63,26.78,26.47,26.78,0.15,97
225,2010-11-26,651200,17351124,26.77,26.77,26.37,26.38,-0.4,138
226,2010-11-29,642100,17137036,26.4,26.75,26.4,26.65,0.27,72
227,2010-11-30,995000,26709600,26.65,26.9,26.58,26.75,0.1,152
228,2010-12-01,711150,19273853,26.75,27.22,26.75,27.19,0.44,198
229,2010-12-02,628234,17279966,27.26,27.6,27.26,27.5,0.31,166
230,2010-12-03,798100,21958830,27.5,27.56,27.4,27.44,-0.06,154
231,2010-12-06,1133200,31242810,27.45,27.61,27.4,27.55,0.11,151
232,2010-12-07,584750,16106301,27.55,27.64,27.33,27.64,0.09,93
233,2010-12-08,1087100,29998184,27.5,27.61,27.5,27.6,-0.04,80
234,2010-12-09,616479,17098744,27.65,27.79,27.43,27.5,-0.1,77
235,2010-12-10,139000,3782190,27.3,27.46,27.11,27.14,-0.36,79
236,2010-12-13,84500,2305660,27.2,27.38,27.2,27.29,0.15,46
237,2010-12-14,93000,2540170,27.29,27.48,27.24,27.25,-0.04,51
238,2010-12-15,111011,3026426,27.25,27.34,27.11,27.34,0.09,58
239,2010-12-16,229040,6284648,27.3,27.48,27.3,27.47,0.13,71
240,2010-12-17,267000,7355390,27.47,27.6,27.47,27.48,0.01,91
241,2010-12-20,170517,4665421,27.48,27.5,27.23,27.23,-0.25,67
242,2010-12-21,199100,5450026,27.16,27.47,27.16,27.47,0.24,84
243,2010-12-22,184150,5080766,27.48,27.65,27.48,27.65,0.18,111
244,2010-12-23,227400,6319210,27.7,27.9,27.65,27.9,0.25,91
245,2010-12-24,127130,3535822,27.8,27.9,27.73,27.87,-0.03,53
246,2010-12-27,141100,3921790,27.62,27.9,27.62,27.9,0.03,89
247,2010-12-28,75360,2098986,27.8,27.9,27.8,27.9,0.0,67
248,2010-12-29,96010,2659211,27.9,28.0,27.54,27.6,-0.3,47
249,2010-12-30,75392,2092249,27.67,27.85,27.6,27.7,0.1,64
250,2010-12-31,194025,5389030,27.6,27.83,27.6,27.82,0.12,79
251,2011-01-03,545050,15289072,27.88,28.11,27.88,28.09,0.27,161
252,2011-01-04,386630,10922504,28.1,28.4,28.1,28.35,0.26,177
253,2011-01-05,282535,7948587,28.35,28.4,27.84,28.05,-0.3,106
254,2011-01-06,254204,7132902,27.91,28.2,27.91,28.2,0.15,77
255,2011-01-07,178360,5011444,28.2,28.38,27.71,28.0,-0.2,105
256,2011-01-10,276000,7637610,27.6,27.88,27.6,27.86,-0.14,133
257,2011-01-11,165130,4619880,27.84,28.1,27.84,28.08,0.22,71
258,2011-01-12,297900,8362590,28.2,28.2,28.02,28.15,0.07,93
259,2011-01-13,199017,5586661,28.17,28.24,27.95,28.05,-0.1,125
260,2011-01-14,112076,3147177,28.05,28.16,28.0,28.0,-0.05,68
261,2011-01-17,139000,3894480,28.15,28.15,27.88,28.05,0.05,65
262,2011-01-18,305360,8564202,28.0,28.14,27.88,28.12,0.07,88
263,2011-01-19,1190392,33622664,28.12,28.4,28.12,28.4,0.28,113
264,2011-01-20,294729,8361536,28.4,28.49,28.3,28.35,-0.05,99
265,2011-01-21,149099,4198121,27.85,28.3,27.85,28.2,-0.15,51
266,2011-01-24,131000,3680480,28.2,28.23,27.97,27.97,-0.23,75
267,2011-01-25,137101,3855668,28.06,28.25,28.06,28.22,0.25,87
268,2011-01-26,59000,1658680,28.22,28.22,28.06,28.16,-0.06,51
269,2011-01-27,145020,4088666,28.16,28.25,28.15,28.2,0.04,78
270,2011-01-28,139223,3908937,28.0,28.2,28.0,28.13,-0.07,63
271,2011-02-08,79585,2241673,28.21,28.24,28.13,28.13,0.0,54
272,2011-02-09,214250,6030972,28.19,28.2,28.08,28.1,-0.03,92
273,2011-02-10,225251,6247943,28.1,28.1,27.56,27.56,-0.54,98
274,2011-02-11,832100,22555620,27.5,27.5,26.75,26.82,-0.74,245
275,2011-02-14,190100,5113120,26.82,27.1,26.82,27.0,0.18,123
276,2011-02-15,131200,3550975,27.0,27.4,26.7,27.4,0.4,67
277,2011-02-16,56529,1542494,27.2,27.4,27.2,27.26,-0.14,43
278,2011-02-17,68100,1853508,27.3,27.3,27.1,27.1,-0.16,45
279,2011-02-18,67100,1846005,27.4,27.78,27.4,27.45,0.35,41
280,2011-02-21,105019,2882542,27.7,27.7,27.3,27.4,-0.05,67
281,2011-02-22,190100,5122878,27.35,27.35,26.82,26.9,-0.5,106
282,2011-02-23,91280,2445563,26.6,27.0,26.6,26.95,0.05,66
283,2011-02-24,113000,3022100,26.7,27.1,26.7,26.71,-0.24,82
284,2011-02-25,75300,2014023,26.8,27.1,26.61,27.1,0.39,53
285,2011-03-01,78559,2115677,27.11,27.3,26.72,27.3,0.2,52
286,2011-03-02,227200,6088490,27.3,27.3,26.61,26.61,-0.69,160
287,2011-03-03,70600,1886202,26.8,26.8,26.62,26.77,0.16,50
288,2011-03-04,68110,1822153,26.93,26.93,26.68,26.68,-0.09,41
289,2011-03-07,123800,3276810,26.75,26.75,26.39,26.46,-0.22,64
290,2011-03-08,100500,2658370,26.44,26.65,26.37,26.65,0.19,54
291,2011-03-09,57000,1515510,26.65,26.69,26.5,26.55,-0.1,44
292,2011-03-10,90401,2370416,26.5,26.5,26.06,26.3,-0.25,69
293,2011-03-11,84519,2200438,26.0,26.17,25.95,26.16,-0.14,64
294,2011-03-14,205080,5313263,26.0,26.06,25.6,26.0,-0.16,98
295,2011-03-15,466873,11773814,26.0,26.0,24.55,25.01,-0.99,241
296,2011-03-16,106200,2686764,25.35,25.64,25.17,25.6,0.59,64
297,2011-03-17,112100,2851425,25.6,25.6,25.15,25.5,-0.1,66
298,2011-03-18,64170,1640439,25.8,25.8,25.5,25.78,0.28,52
299,2011-03-21,80100,2071878,26.45,26.45,25.74,25.84,0.06,46
300,2011-03-22,46000,1187700,25.71,26.0,25.71,25.85,0.01,33
301,2011-03-23,110499,2883484,26.0,26.2,25.9,25.99,0.14,53
302,2011-03-24,80000,2089260,26.02,26.2,26.02,26.19,0.2,35
303,2011-03-25,139037,3652919,26.29,26.4,26.2,26.35,0.16,57
304,2011-03-28,37120,971710,26.2,26.2,26.1,26.1,-0.25,27
305,2011-03-29,73030,1921676,26.3,26.41,26.19,26.4,0.3,46
306,2011-03-30,70000,1846870,26.5,26.5,26.3,26.44,0.04,45
307,2011-03-31,32000,844650,26.45,26.49,26.3,26.3,-0.14,22
308,2011-04-01,55245,1450860,26.22,26.4,26.22,26.3,0.0,26
309,2011-04-06,155000,4109210,26.26,26.65,26.26,26.59,0.29,68
310,2011-04-07,1122030,30220799,26.65,26.97,26.6,26.67,0.08,89
311,2011-04-08,73175,1961057,26.67,26.88,26.67,26.73,0.06,46
312,2011-04-11,40000,1066790,26.73,26.76,26.62,26.76,0.03,37
313,2011-04-12,64251,1704792,26.61,26.61,26.5,26.59,-0.17,28
314,2011-04-13,54000,1430510,26.5,26.59,26.4,26.5,-0.09,38
315,2011-04-14,52000,1384480,26.5,26.7,26.5,26.65,0.15,23
316,2011-04-15,60200,1599006,26.65,26.65,26.53,26.55,-0.1,23
317,2011-04-18,1068000,28534060,26.55,26.8,26.42,26.5,-0.05,53
318,2011-04-19,2096827,55081744,26.5,26.5,26.24,26.3,-0.2,80
319,2011-04-20,2075488,55540013,26.37,26.83,26.37,26.7,0.4,65
320,2011-04-21,4239372,115468853,26.7,27.34,26.7,27.08,0.38,218
321,2011-04-22,1081500,29485639,27.15,27.28,27.0,27.05,-0.03,64
322,2011-04-25,69260,1873562,27.1,27.16,26.95,26.95,-0.1,40
323,2011-04-26,150000,4032610,26.9,27.05,26.71,27.0,0.05,49
324,2011-04-27,3148000,86105690,27.1,27.38,27.1,27.2,0.2,104
325,2011-04-28,1654000,45458090,27.25,27.5,27.23,27.3,0.1,76
326,2011-04-29,1589000,43371590,27.3,27.31,26.95,27.0,-0.3,43
327,2011-05-03,105055,2840163,27.08,27.2,27.0,27.06,0.06,76
328,2011-05-04,62030,1673219,27.06,27.06,26.9,27.04,-0.02,34
